"REF_DATE","GEO","DGUID","Components of population growth","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1972/1973","Northwest Territories including Nunavut","","Net interprovincial migration","Persons","249","units ","0","v391132","13.5","720","","","t","0"
"1972/1973","Northwest Territories including Nunavut","","Net non-permanent residents","Persons","249","units ","0","v29768577","13.12","1","","","t","0"
"1972/1973","Northwest Territories including Nunavut","","Residual deviation","Persons","249","units ","0","v391177","13.8","-134","","","t","0"
"1973/1974","Canada","2016A000011124","Births","Persons","249","units ","0","v391069","1.1","342446","","","","0"
"1973/1974","Canada","2016A000011124","Deaths","Persons","249","units ","0","v391084","1.2","166284","","","","0"
"1973/1974","Canada","2016A000011124","Immigrants","Persons","249","units ","0","v391099","1.3","217456","","","","0"
"1973/1974","Canada","2016A000011124","Emigrants","Persons","249","units ","0","v29768526","1.9","83501","","","","0"
"1973/1974","Canada","2016A000011124","Returning emigrants","Persons","249","units ","0","v29768527","1.10","36747","","","","0"
"1973/1974","Canada","2016A000011124","Net non-permanent residents","Persons","249","units ","0","v29768529","1.12","-2001","","","","0"
"1973/1974","Canada","2016A000011124","Residual deviation","Persons","249","units ","0","v53437072","1.8","28671","","","","0"
"1973/1974","Newfoundland and Labrador","2016A000210","Births","Persons","249","units ","0","v391070","2.1","11962","","","","0"
"1973/1974","Newfoundland and Labrador","2016A000210","Deaths","Persons","249","units ","0","v391085","2.2","3362","","","","0"
"1973/1974","Newfoundland and Labrador","2016A000210","Immigrants","Persons","249","units ","0","v391100","2.3","1128","","","","0"
"1973/1974","Newfoundland and Labrador","2016A000210","Emigrants","Persons","249","units ","0","v29768530","2.9","556","","","","0"
"1973/1974","Newfoundland and Labrador","2016A000210","Returning emigrants","Persons","249","units ","0","v29768531","2.10","246","","","","0"
"1973/1974","Newfoundland and Labrador","2016A000210","Net interprovincial migration","Persons","249","units ","0","v391129","2.5","-2719","","","","0"
"1973/1974","Newfoundland and Labrador","2016A000210","Net non-permanent residents","Persons","249","units ","0","v29768533","2.12","-5","","","","0"
"1973/1974","Newfoundland and Labrador","2016A000210","Residual deviation","Persons","249","units ","0","v53437073","2.8","2651","","","","0"
"1973/1974","Prince Edward Island","2016A000211","Births","Persons","249","units ","0","v391076","3.1","1932","","","","0"
"1973/1974","Prince Edward Island","2016A000211","Deaths","Persons","249","units ","0","v391091","3.2","1073","","","","0"
"1973/1974","Prince Edward Island","2016A000211","Immigrants","Persons","249","units ","0","v391106","3.3","377","","","","0"
"1973/1974","Prince Edward Island","2016A000211","Emigrants","Persons","249","units ","0","v29768534","3.9","135","","","","0"
"1973/1974","Prince Edward Island","2016A000211","Returning emigrants","Persons","249","units ","0","v29768535","3.10","59","","","","0"
"1973/1974","Prince Edward Island","2016A000211","Net interprovincial migration","Persons","249","units ","0","v391135","3.5","821","","","","0"
"1973/1974","Prince Edward Island","2016A000211","Net non-permanent residents","Persons","249","units ","0","v29768537","3.12","1","","","","0"
"1973/1974","Prince Edward Island","2016A000211","Residual deviation","Persons","249","units ","0","v53437074","3.8","640","","","","0"
"1973/1974","Nova Scotia","2016A000212","Births","Persons","249","units ","0","v391077","4.1","12839","","","","0"
"1973/1974","Nova Scotia","2016A000212","Deaths","Persons","249","units ","0","v391092","4.2","7022","","","","0"
"1973/1974","Nova Scotia","2016A000212","Immigrants","Persons","249","units ","0","v391107","4.3","3064","","","","0"
"1973/1974","Nova Scotia","2016A000212","Emigrants","Persons","249","units ","0","v29768538","4.9","777","","","","0"
"1973/1974","Nova Scotia","2016A000212","Returning emigrants","Persons","249","units ","0","v29768539","4.10","347","","","","0"
